id	x	y
1	-2.7591348	26.170704
2	-7.56057	-9.704841
3	28.537697	19.105604
4	27.986538	16.830908
5	15.35491	2.2305346
6	19.462244	7.7503924
7	18.942284	10.723856
8	-3.3277948	-18.75375
9	7.9395776	0.85427636
10	17.26845	-33.151066
11	14.944707	15.915964
12	-11.366825	-5.8949795
13	-8.519459	-9.989518
14	7.8372774	-23.105062
15	-7.6067567	29.75033
16	1.5976615	15.016883
17	7.8457174	5.706916
18	7.2017455	-16.889217
19	-4.558551	26.535053
20	-22.713022	-10.925882
21	10.454908	-22.102005
22	-28.341892	-16.41726
23	4.2972326	20.186256
24	1.3974098	20.449354
25	-13.100591	1.1454872
26	-5.296367	21.769539
27	-22.543455	-9.447313
28	4.416084	-30.491013
29	-19.191196	-15.976546
30	-6.6389017	27.202467
31	9.215275	-18.539835
32	13.147855	-29.251532
33	-21.313068	-12.755467
34	-6.228053	21.03631
35	0.22900663	-22.469435
36	-16.396172	-15.438888
37	23.654444	-15.061099
38	11.457279	-21.163233
39	-24.00038	-15.206985
40	21.543129	11.451506
41	-9.031191	-7.409085
42	22.46316	13.24942
43	-24.746626	-17.070984
44	15.047816	3.9640465
45	-20.956907	-6.8854017
46	5.1027465	-19.621332
47	-1.2737437	24.740545
48	-25.212482	-20.285477
49	28.212585	19.28354
50	13.333602	-7.483903
51	-10.17053	-12.671347
52	9.92031	-16.452078
53	0.56352997	-18.69689
54	-17.162807	5.4358993
55	-20.712671	-9.206458
56	24.075726	11.790646
57	3.3859437	30.540031
58	26.07144	11.737419
59	-7.5425625	10.887683
60	-8.9017315	-14.633202
61	21.122644	12.727354
62	-8.515232	-7.697377
63	14.306584	11.578121
64	-0.8450037	-20.5201
65	4.104893	3.971542
66	3.9010482	-28.636883
67	13.733525	-8.202698
68	24.673038	23.07211
69	25.609806	16.211586
70	6.3117657	11.708495
71	-22.114447	-17.305286
72	4.388394	19.067404
73	5.152823	2.8117216
74	21.63191	10.97334
75	-25.245478	-15.386275
76	0.6564623	13.419996
77	-8.010784	5.0905876
78	-5.528578	-9.823727
79	-6.1945057	16.889673
80	-19.550915	-10.253621
81	10.136372	-16.85059
82	20.921526	12.907156
83	-6.3213725	7.5054593
84	24.8114	11.776305
85	3.4130008	30.813425
86	14.519503	-9.741807
87	20.633076	15.163772
88	16.294212	8.769293
89	-30.272959	-20.343307
90	17.079285	7.622135
91	-7.5563965	-4.2916994
92	-9.711402	24.295198
93	-17.408337	-2.1822069
94	-23.721457	-15.758315
95	2.513068	23.477465
96	-21.050247	-11.057126
97	-4.3259654	12.005746
98	-6.0497527	-3.3160574
99	11.366854	-15.601253
100	-19.36817	-7.734741
101	-0.66514057	13.625872
102	-1.5419233	23.543676
103	17.253246	-33.138737
104	-19.165035	-7.6862655
105	10.139915	16.64835
106	-3.0094836	-19.594902
107	-6.3388367	13.958507
108	-10.688627	-14.009603
109	-0.035989497	25.79951
110	-29.751873	-13.019222
111	6.939148	-14.212535
112	-22.632559	-13.718052
113	2.5322425	21.909243
114	12.430569	4.92971
115	-32.404663	-17.17106
116	16.27667	9.100152
117	-6.5364413	-7.2443748
118	-11.028059	-14.128879
119	-20.058048	-14.042645
120	16.19103	-32.02988
121	18.940935	5.4686747
122	-1.2290899	-3.7117667
123	18.47463	2.411569
124	3.2882416	-30.149
125	17.537191	10.163636
126	-7.6139092	29.666714
127	11.449338	-12.766023
128	11.574475	8.3126745
129	11.684614	-17.678484
130	6.8413143	-28.16306
131	-1.21752	20.03003
132	6.68891	16.297068
133	2.9954762	25.152557
134	7.5936103	-22.366917
135	9.5871	17.626188
136	-22.864752	-9.905588
137	5.092124	9.981556
138	19.638351	5.2115483
139	-26.643705	-10.920818
140	11.412479	6.567304
141	-17.251692	4.4578967
142	-10.883981	-7.181419
143	-2.0132248	15.85168
144	25.592556	20.8874
145	12.6004095	-28.86446
146	-4.4970775	11.990296
147	-27.513048	-18.915222
148	18.686691	4.9911027
149	-3.7061102	22.781315
150	-7.7390633	-6.4987173
151	-14.876319	10.723276
152	-24.27583	-6.697406
153	4.67299	-29.11474
154	-18.076643	-14.024375
155	15.43054	12.01703
156	11.139077	-23.90992
157	11.929894	-10.172263
158	-24.898874	-8.201528
159	0.29314026	23.697935
160	9.827226	10.901909
161	-15.134861	-14.248532
162	-23.93296	-18.794565
163	-19.495285	-3.4496763
164	14.109996	-24.045633
165	9.941859	-24.09587
166	12.214844	13.682814
167	-16.550045	-2.049381
168	24.6943	20.514133
169	-15.095682	-8.39956
170	-28.01959	-9.337587
171	15.867336	14.1717825
172	-15.244041	-16.837214
173	16.078308	14.40462
174	5.4576178	-29.491512
175	-32.236244	-8.906199
176	-28.757917	-10.952239
177	12.145354	18.299368
178	12.955229	-16.68468
179	24.978659	22.95595
180	8.468208	2.904198
181	2.5027041	-19.697817
182	-0.7081677	21.04291
183	-23.685217	-12.7016945
184	13.9437	-29.72366
185	-6.5741215	14.453023
186	-26.951899	-7.1338286
187	-3.0513027	20.577583
188	7.023353	-16.995209
189	11.324032	16.197382
190	-23.908499	-18.804413
191	10.121756	9.77199
192	-20.095465	-4.814228
193	10.356907	12.722953
194	-11.409458	-4.1741104
195	-12.915027	3.8261373
196	13.51074	-10.329416
197	-4.090118	24.447231
198	2.463764	-15.735726
