id	x	y
1	30.698736	-10.417333
2	-18.700787	26.437124
3	17.313953	-17.90993
4	16.63055	-16.338585
5	-13.992149	23.289455
6	-9.862286	22.741583
7	-1.0027084	14.317275
8	-15.186541	-5.113766
9	-3.5858576	0.15597959
10	2.4499693	-0.81304854
11	29.755482	-13.584677
12	-17.360416	27.99759
13	-18.817057	25.44977
14	-12.262173	13.824509
15	33.329113	-18.424793
16	25.306768	-19.526154
17	-9.990428	2.8080516
18	7.869783	-4.4805956
19	36.31583	-15.776707
20	-12.003963	-7.6316156
21	-11.000483	3.481025
22	-11.1916895	20.154478
23	21.78552	-17.384216
24	26.25782	-17.120756
25	-13.915517	13.021106
26	27.89014	-9.661552
27	-1.3125894	7.0596313
28	-23.071972	6.220353
29	-3.7559395	5.6215105
30	29.042074	-13.578758
31	-10.832708	15.8350115
32	-15.399991	-0.026605071
33	-12.169515	-4.0082784
34	8.023714	-19.333916
35	-9.902515	4.078645
36	26.645424	-13.613666
37	1.0709664	3.0203695
38	-24.590279	11.022579
39	-13.037606	-9.295559
40	8.088664	-4.9778852
41	-14.529124	24.881441
42	-15.53936	22.23152
43	-8.330131	10.118831
44	3.7329047	-7.6037426
45	-10.532683	-8.2775955
46	-15.493726	20.807856
47	33.873524	-16.018307
48	-11.056604	-5.68978
49	17.312521	-17.819824
50	3.7396488	-12.833901
51	-18.399677	24.187382
52	1.9489427	-8.567844
53	-11.892353	-5.1891704
54	-16.245718	23.866743
55	-15.898721	9.460745
56	-14.678723	21.958872
57	28.028275	-12.217022
58	-9.329186	19.730843
59	16.320549	-21.368183
60	-17.44738	4.3468804
61	-5.6377015	1.7505804
62	-15.543744	24.975529
63	5.098816	-11.254895
64	-15.747251	-5.13701
65	6.360408	-2.9942272
66	-19.564474	18.098057
67	6.77518	-15.480125
68	19.496143	-9.098412
69	-2.3346255	-3.3431041
70	12.941286	-15.025021
71	-4.3843594	-7.0197477
72	23.402866	-13.47387
73	-6.504397	-1.4127231
74	4.663573	-6.5763426
75	-13.738722	-6.6891923
76	23.673872	-17.723192
77	-15.934232	14.810211
78	-23.718063	11.491281
79	15.496744	-20.629675
80	-14.493548	17.033138
81	1.8204362	-8.93537
82	-5.8221345	1.9351388
83	11.501087	-8.804229
84	-12.534747	20.530771
85	4.875532	-8.88716
86	-2.8466082	4.0797677
87	-6.612589	4.2338443
88	6.6085124	-11.683154
89	-6.6795173	9.956055
90	5.717275	-11.336133
91	-16.130524	19.090195
92	15.0952015	-18.931368
93	-18.370459	16.655987
94	-12.888767	-8.870061
95	18.492651	-17.416365
96	-23.857746	15.213651
97	13.993156	-15.822889
98	-13.318448	14.94902
99	0.55370975	14.2005415
100	-0.9937329	8.480723
101	6.47629	2.4567876
102	34.26515	-14.853329
103	2.0966918	-0.30519828
104	-1.0411116	8.285886
105	16.616573	-13.627036
106	-15.263185	-9.998067
107	-4.4888525	-6.774617
108	-17.171654	25.416203
109	33.39913	-16.849525
110	-11.948903	-3.38776
111	28.71167	-20.004768
112	-6.8047347	-8.368543
113	32.67496	-15.027932
114	9.121124	-2.9635081
115	-11.425747	9.790949
116	-16.651783	7.6443853
117	-17.6982	26.528172
118	-12.534294	16.198877
119	-1.4854599	-7.4819927
120	-18.120262	14.368767
121	-1.215522	0.13860308
122	-9.664187	9.367133
123	20.3267	-9.091601
124	-21.808514	3.6767287
125	3.596532	-10.173384
126	22.160015	-11.694076
127	-7.4924655	-2.033422
128	4.429656	-8.33272
129	-3.2756882	13.516745
130	-17.674728	9.389843
131	15.626343	-7.921295
132	11.150119	-11.061308
133	28.171091	-17.143276
134	-18.721104	21.211304
135	10.982726	-12.154906
136	-4.6091433	11.06088
137	14.764553	-12.379759
138	-1.9371717	0.49221352
