id	features
1	0.061777,0.286834,0.000000,0.008912,0.046917,0.018678,2.046775,0.097197,0.000000,0.000000,0.101328,1.585336,0.177566,0.108382,0.260388,1.815375,1.395223,2.045964,0.055504,2.945876,0.319268,0.113672,4.621943,0.130725,0.106050,0.502802,0.000000,0.380804,0.616407,0.144324,0.613141,0.000000,1.962356,0.075379,0.531407,0.413346,0.015831,0.109782,0.306099,0.000000,0.910368,1.297928,6.523281,0.164632,1.189485,0.000000,0.261210,0.976252,0.020338,1.120017,15.121649,0.122045,1.380605,0.393246,0.158939,1.727900,1.085840,12.376828,0.517647,1.791425,0.000000,0.000000,0.452476,0.015024,1.832465,1.564560,0.165450,0.499629,0.000000,0.158058,0.066877,0.086947,0.223334,0.772490,0.180076,0.000000,0.000000,0.412877,1.194711,0.076291,0.000000,0.268556,1.303366,0.234382,0.042844,0.038122,15.665021,0.094719,1.621791,3.842229,0.646238,0.000000,0.095331,0.000000,0.026736,0.111555,1.077250,0.014111,0.748702,2.160720,0.095269,0.011482,0.021093,0.287041,0.035690,0.661211,0.155839,1.270079,0.000000,0.000000,0.231291,0.619138,0.365829,1.790490,1.480708,0.124533,0.000000,0.666107,0.263930,0.138934,0.293196,0.000000,0.000000,14.329656,3.339803,1.053715,0.000000,0.687850,0.090280,0.019570,3.839185,2.636831,1.400293,1.219993,0.166426,0.075114,0.327349,0.379446,1.640133,0.143760,0.204517,0.034301,0.059472,0.504541,0.000000,0.076382,0.000000,5.975464,0.037955,0.151856,0.681484,0.510979,0.000000,0.000000,0.237669,0.330006,15.866924,0.000000,0.000000,0.000000,0.249092,1.343934,0.039147,0.127929,0.136468,0.002273,0.147204,0.000000,0.502129,0.221943,1.232246,0.914984,1.401491,3.522676,0.250143,0.000000,1.668166,0.077919,2.014268,0.000000,1.829108,0.310805,0.000000,3.151422,1.112820,2.740338,0.357811,0.828433,0.667077,0.000000,0.026345,0.224779,0.387386,1.092667,0.107614,0.000000,0.436882,0.000000,0.000000,1.212840,0.431214,2.997685,0.021914,1.057270,2.527377,1.188714,0.515367,0.057542,0.262103,0.008459,0.224896,1.561134,1.922588,0.888570,0.059597,0.737682,0.209891,1.878014,0.000000,1.884527,2.032795,5.285295,0.000000,0.000000,0.705223,0.476835,2.713152,0.089645,2.862550,0.768566,3.478398,0.532452,1.283923,0.601518,0.226004,0.003307,0.000000,0.379614,0.718991,0.064758,0.192699,0.438751,2.025838,0.095651,7.751508,0.000000,0.000000,0.029619,0.000000,0.180220,0.155122,0.914174,7.480649,0.271341,0.078244,0.000000,3.459260,0.245246,3.280102,3.934574,0.244381,0.096465,1.406751,1.239307,0.000000,0.000000,0.235072,2.033473,0.000000,0.260954,1.296528,1.621838,2.610049,0.786441,0.012788,0.102880,7.785273,0.074730,0.724312,0.839158,0.872652,0.068612,5.077566,0.497900,0.019028,0.438155,0.000000,0.000000,0.783972,0.000000,0.867072,0.007187,0.946515,0.216946,0.248013,0.423472,0.724279,0.791547,4.513568,0.285356,0.217703,0.274162,0.578755,0.000000,0.000000,9.473425,0.000000,0.045992,0.230120,0.610352,0.110602,0.761805,1.404303,0.000000,1.840305,8.092411,0.094538,0.000000,1.378741,0.152453,0.497793,1.738843,0.223456,0.444010,0.000000,0.271172,0.432055,2.531395,2.054752,1.224116,0.186617,3.517867,1.197271,0.301426,0.584030,0.494680,0.162181,0.516676,0.059274,0.290463,0.496756,0.000000,2.491503,0.581972,0.396329,0.000000,0.003625,1.712781,0.000000,0.083561,3.549944,0.000000,0.402101,0.144401,0.194379,0.000000,0.378624,0.000799,0.182346,0.580113,0.064802,0.000000,1.296409,1.796103,0.768783,0.501009,6.513505,2.701100,0.000000,0.201198,0.057383,2.921725,0.007171,0.962487,0.895083,4.831572,0.105750,1.576126,0.616720,1.393884,0.000000,2.904229,6.867708,0.000000,0.163314,0.655441,0.000000,0.618445,1.162426,0.068223,2.819473,0.435863,0.000000,0.285951,0.095418,0.195110,2.047142,0.000000,0.368419,0.760164,0.252843,0.702299,1.124287,0.000000,0.014890,0.000000,0.022227,12.189356,0.611892,1.191301,0.000000,0.119311,0.581676,0.863933,0.282033,1.533229,0.015305,4.605904,0.438425,0.285738,0.000000,0.000000,1.142788,0.143264,0.000000,1.002958,0.000000,0.771380,0.000000,0.238596,0.414351,13.582412,0.308777,0.000000,0.282941,2.969946,0.000000,0.000000,2.579501,0.339006,0.388881,1.976221,5.485360,0.000000,12.259686,1.020791,0.193250,0.083036,0.450813,0.255578,0.745976,0.785783,0.000000,1.597511,0.000000,0.090378,0.350149,0.471213,0.040197,0.216527,1.510542,19.792345,0.000000,0.202769,0.933669,0.146262,0.031827,0.330465,0.018194,0.149019,0.383498,0.044543,0.096543,0.006928,0.578232,0.046910,3.187200,0.252612,0.178853,0.000000,0.843376,0.397206,0.522161,1.944732,0.117446,0.118138,1.623735,3.691968,0.125593,0.104899,0.160858,1.002516,0.072107,0.319766,0.000000,0.982067,0.000000,0.000000,0.232688,0.394862,0.000000,0.000000,1.751055,0.265578,0.171601,2.805643,3.171649,0.996987,2.725748,0.000000,1.400716,0.000542
2	0.324571,0.623099,0.000000,0.209526,0.000000,0.000000,3.378922,0.074809,0.000000,0.258311,0.151508,1.022848,0.961077,0.000000,1.171069,0.030344,1.104664,0.197665,1.849343,0.732118,0.000000,0.000000,0.277364,0.000000,0.315423,27.604704,0.000000,0.000000,0.048498,0.000000,0.000000,0.000000,1.906762,0.000000,0.010386,0.114267,0.458099,0.609237,0.504702,0.000000,1.344131,0.177748,4.393832,0.847972,0.172803,0.000000,0.344640,0.586804,0.254824,0.679164,13.715845,0.000000,0.882207,0.000000,0.163326,0.498127,0.368597,9.154105,0.002984,2.329423,0.070143,0.001986,2.171266,2.904827,0.195931,0.294892,0.001340,0.558369,0.527932,0.000000,1.290306,0.402102,0.449256,0.039679,0.297910,0.117692,0.007540,0.070746,0.000000,0.327492,0.000000,0.091756,0.102014,0.000000,1.182095,0.000000,7.691996,0.000000,0.000000,2.282966,0.759406,0.000000,0.000000,0.320555,0.113880,0.154022,0.007489,0.873899,0.000000,7.004947,0.263240,0.023518,0.012943,0.188865,0.000000,0.000000,0.162264,2.719020,0.021981,0.000000,0.043425,0.000000,0.000000,0.144066,2.219315,0.000000,0.108439,0.409269,0.000000,0.741804,0.000000,0.156383,0.000000,1.526980,10.141448,1.324934,0.052202,0.000000,0.400960,0.000000,4.411661,0.000000,2.746579,0.000000,0.863690,0.000000,0.024278,4.395632,4.445035,0.000000,0.000000,0.000000,0.008358,0.000000,0.176000,0.259024,0.000491,3.567833,0.082208,0.015840,0.007914,0.199990,0.000000,0.000000,0.750165,0.168678,26.791969,0.272216,0.000000,0.029603,0.340344,0.303439,0.000000,0.000000,0.000000,0.000000,0.214896,0.000000,1.184986,0.008255,1.460399,0.331709,3.267586,1.063538,0.252170,0.000000,1.587795,0.091828,4.569369,0.761763,0.108303,0.151945,0.215943,0.454099,0.000000,0.039112,1.333383,2.718631,0.080786,0.000000,0.000000,0.042353,0.006869,0.020767,0.193285,0.000000,0.000000,0.000000,0.300578,0.111526,0.000000,1.503423,0.000000,0.732698,0.032468,0.000000,0.880866,0.000000,0.159976,0.000000,1.595900,0.000000,0.080287,0.652582,0.056489,0.313874,1.796866,10.047755,0.000000,0.123065,0.993252,0.724464,0.000000,0.000000,0.070397,0.000000,8.394007,0.135391,1.520640,0.339740,7.129044,0.115616,0.173480,1.067341,0.806278,0.000000,0.000000,0.000000,0.176128,0.000000,2.201945,0.694712,0.151556,1.343129,30.094084,0.000000,0.000000,0.123827,0.186450,0.552045,2.508040,0.612389,12.425189,0.000000,0.516566,0.043764,4.699127,0.000000,0.030531,4.892776,0.000000,0.000000,0.270818,0.423805,0.157607,1.637515,0.000000,2.377877,0.000000,0.000000,0.400600,4.442186,4.067286,0.244300,0.000000,0.000000,10.014158,0.000000,0.423227,0.244819,0.000000,0.458254,4.248304,0.000000,1.127394,0.732818,0.142097,0.000000,7.920683,0.000000,2.261693,0.037201,0.446977,0.148968,0.427356,0.000000,1.549205,0.000000,1.707435,0.041653,7.889406,2.257437,0.200215,0.000000,0.363514,5.029009,0.000000,0.000000,0.410145,0.201252,0.000000,0.000000,0.341901,0.000000,0.899063,6.912072,2.490808,0.009037,0.001994,6.851494,0.748013,1.851735,1.104451,0.049662,0.521472,0.000000,0.207663,0.660742,1.303713,0.000000,5.179191,1.913965,0.442121,0.000000,0.058736,1.789444,0.000000,0.940920,0.009924,0.387145,0.699358,0.555125,1.078245,1.636293,2.379544,0.000000,0.442628,0.333242,0.000000,0.234421,0.803820,0.000000,5.497294,0.059215,0.778276,0.000000,1.140847,0.000000,0.105489,1.627528,0.024840,0.000000,4.094802,0.132658,0.175463,0.118516,1.819101,2.856064,0.072221,1.556122,0.000000,0.572681,0.000000,2.213498,0.000000,10.777102,0.540009,1.045519,0.207313,0.685311,1.467146,2.887181,0.388424,0.000000,0.066380,0.000000,0.000000,1.020136,0.929234,0.142800,5.303726,0.000000,0.000000,0.000000,0.000000,0.020310,0.984408,0.000000,2.162642,2.222873,0.000000,0.882894,0.340748,0.000000,0.077739,0.000000,0.000000,13.967360,0.004678,0.000000,0.000000,0.000000,0.000000,5.798742,0.299109,2.745297,0.188413,6.967307,0.892772,0.037007,2.450261,0.039699,0.433030,0.235760,1.092747,0.167407,0.000000,0.434977,2.661216,0.096268,1.136900,3.134552,0.626495,0.299020,0.102124,0.000000,0.000000,0.000000,3.439809,0.000000,1.669374,7.631703,0.675133,1.067234,11.942750,1.971933,0.000000,0.158811,0.195834,1.522313,4.013070,2.521114,0.360087,0.368211,2.081975,0.011977,0.121299,0.100923,1.784564,0.000000,2.774686,3.622174,0.000000,0.020561,0.141354,0.000000,0.000000,0.010164,0.338492,2.979137,0.000000,2.211200,0.000000,0.000000,2.876758,0.184920,4.435060,0.941393,0.000000,0.034361,0.041725,0.315918,0.000000,0.063950,0.690288,0.000000,0.027412,3.560099,0.220827,0.027919,0.062863,0.153172,0.529697,0.585238,0.440385,0.722674,0.000000,0.029850,0.154025,0.486068,0.000000,0.000000,1.972826,0.535328,0.326542,2.460989,0.963103,0.442061,1.990610,0.910245,0.703001,0.000000
3	0.127681,0.000000,0.000000,0.000000,0.000000,0.000000,0.024549,0.000000,0.000000,0.000000,0.151400,0.107618,0.241842,0.000000,0.000000,0.883724,0.000000,0.719373,0.612921,0.753197,0.000000,0.112646,3.435337,0.165253,0.813004,1.391596,0.000000,0.140513,0.149599,0.010557,0.000000,0.000000,0.277409,0.000000,0.000000,4.082331,0.021942,0.082537,0.000000,0.000000,0.840945,0.000000,6.427477,0.000000,0.046161,0.000000,0.101779,4.846781,0.000000,1.269907,5.953241,0.000000,2.355162,0.000000,0.000000,0.291982,0.000000,3.547555,0.108859,2.674783,0.013696,0.039341,1.557870,0.296956,3.349258,0.077160,0.000000,0.000000,0.028807,0.000000,0.125636,0.000000,2.273997,0.668962,0.000000,0.840486,0.000000,0.021755,0.000000,0.000000,0.000000,0.008096,0.000000,0.253792,0.166174,0.000000,21.274908,0.000000,0.182533,1.296860,0.000000,0.000000,0.000000,0.000000,0.375286,0.026756,1.246857,0.000000,0.000000,3.799845,0.000000,0.000000,0.325395,0.000000,0.000000,0.000000,0.000000,4.509270,0.000000,0.000000,0.000000,0.000000,0.000000,0.441936,0.334532,0.000000,0.000000,0.319364,0.000000,0.462178,0.000000,0.058343,0.000000,4.878156,0.205231,0.025347,0.000000,0.000000,0.000000,0.000000,2.399137,1.641335,0.847134,0.350574,0.000000,0.000000,0.433418,0.728987,6.563408,0.000000,0.271257,0.000000,0.223659,0.010808,0.000000,0.195134,0.138430,1.612295,0.000000,0.037481,0.341375,0.000000,0.000000,0.000000,0.090475,0.658403,14.262712,0.000000,0.000000,0.000000,0.338902,0.000000,0.000000,0.000000,0.000000,0.741645,0.000000,0.000000,1.101036,0.245023,0.000000,0.000000,2.855611,0.015196,0.000000,0.000000,0.000000,0.445758,1.379377,0.000000,0.000000,0.368107,0.000000,0.000000,0.000000,6.792733,0.059910,0.991307,0.000000,0.000000,0.016079,0.156864,0.010696,1.960440,0.007170,0.000000,0.000000,0.000000,0.000000,1.171498,0.000000,4.273729,0.000000,0.538669,0.000000,0.000000,0.127577,0.206113,0.410281,0.000000,0.069849,0.000000,0.353840,0.066891,0.000000,0.087650,0.129938,0.638300,0.000000,0.978621,2.263660,0.271277,0.000000,0.000000,0.000000,0.033158,1.050419,1.088971,7.254542,0.017668,2.099257,0.157498,0.030656,0.466512,0.428123,0.000000,0.000000,0.000000,0.094048,0.000000,0.421562,0.005380,0.075711,0.605476,5.014400,0.000000,0.000000,0.000000,0.022248,0.296713,0.000000,0.165413,14.474176,0.000000,0.227059,0.078917,3.928489,0.000000,7.300238,0.375313,0.173711,0.000000,0.000000,0.679793,0.086339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.782652,0.000000,0.000000,0.000000,4.263515,0.000000,0.000000,0.000000,0.000000,0.000000,7.523942,0.000000,0.521379,0.000000,0.000000,0.000000,0.000000,0.000000,0.371663,0.000000,0.000000,0.805514,0.000000,0.023173,0.000000,0.000000,5.093505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.096774,0.000000,0.287086,0.030539,0.000000,0.000000,0.000000,0.000000,0.000000,2.606395,4.342151,0.207148,0.000000,0.029578,1.788948,0.258214,2.404027,2.313035,1.173988,0.000000,0.000000,0.630387,0.006851,0.513494,0.000000,0.953019,3.897909,0.000000,0.000000,0.000000,0.000000,0.000000,0.545159,0.000000,0.000000,0.301299,0.187674,2.669786,2.145164,0.746713,0.000000,0.017383,0.132959,0.000000,0.000000,0.749864,0.000000,0.769032,0.000000,0.220066,0.000000,0.788298,0.000000,0.000000,0.252714,0.197522,0.041303,0.000175,3.378253,0.051256,0.000000,0.727053,2.366109,0.000000,0.343647,0.000000,0.000000,0.000000,0.781780,0.000000,2.967342,0.000000,0.000000,0.988274,0.043015,1.075097,2.030117,2.866715,0.000000,0.000000,0.009287,0.069930,0.447597,0.938666,0.004064,0.185444,0.000000,0.000000,0.000000,0.000000,0.000000,1.128648,0.000000,0.161268,0.462984,0.000000,2.202469,0.348593,0.000000,0.007465,0.235650,0.000000,4.832408,0.400395,0.000000,0.000000,0.006255,0.017323,2.342836,0.000000,0.000000,0.000000,8.678806,0.000000,0.000000,1.090796,0.000000,5.614047,0.000000,0.000000,0.073351,0.000000,0.005039,0.000000,0.037312,0.000000,4.917490,0.000000,0.001659,0.020384,1.196542,0.000000,0.000000,5.007307,0.190817,0.000000,0.106131,0.945239,0.518524,6.584684,0.772832,0.000000,0.000000,0.552535,0.197126,0.802019,0.016715,0.000000,0.000000,0.000000,0.527232,0.166662,0.073773,0.015326,0.000000,0.092773,14.009280,0.000000,0.072921,0.051606,0.197894,0.134840,0.000000,0.000000,0.047266,0.043533,0.000000,0.000000,0.000000,6.261013,0.000000,0.128383,0.000000,0.121682,0.000000,0.306421,2.905368,0.000000,0.000000,0.000000,0.000000,0.056292,13.675106,0.191733,0.987244,0.000000,0.321433,0.000000,0.000000,0.003976,1.283504,0.000000,0.000000,0.000000,0.328602,0.000000,0.000000,0.861588,0.014674,0.000000,7.622897,1.439098,0.000000,1.539276,0.000000,0.126994,0.000000
4	0.000000,0.444713,0.000000,0.271088,0.005956,0.209625,0.931334,0.616656,0.000000,0.000000,0.026272,0.517609,1.041387,0.210502,1.195619,0.499760,0.000000,0.646076,0.099132,3.364867,0.000000,0.063053,1.366486,0.372057,0.113011,1.240198,0.000000,1.202531,0.488261,1.080325,0.000000,0.000000,2.556032,0.091561,0.000000,1.316970,0.008114,0.644420,0.000000,0.000000,0.417072,0.165389,2.688514,0.028773,0.023831,0.358831,1.794159,1.609253,0.218871,0.734936,2.394575,0.000000,0.165463,0.231874,0.679479,0.132923,0.101961,9.579982,0.312767,3.151011,0.097228,0.000000,1.514034,3.487106,0.154663,0.186139,0.000000,0.000000,0.086605,0.000667,0.085436,0.005947,1.446864,1.961538,0.666903,3.502845,0.000000,0.000000,0.076757,0.609877,0.000000,0.207183,0.036539,0.021663,0.000000,0.674952,25.287888,0.000000,0.000000,2.821827,0.000000,0.000000,0.397521,0.479246,0.883413,0.257961,2.898687,0.374907,0.382882,5.449277,0.000000,0.000000,0.922876,0.000000,0.000000,0.000000,0.532667,4.542990,0.000000,0.000000,0.360950,0.000000,0.000000,0.888331,0.549810,0.199042,0.000000,2.214753,0.051902,0.954112,0.246363,0.049314,0.049560,1.035201,3.921511,0.797465,0.511495,0.000000,0.000000,0.104688,5.159957,0.247218,1.705805,0.841020,0.187242,0.000000,1.662634,0.110878,6.621130,0.000000,2.224393,0.022770,2.899179,0.026215,0.123793,1.217148,0.146956,0.420048,0.000000,0.220550,0.000000,0.000000,0.000000,0.000000,0.510566,0.562846,9.479602,0.085230,0.192019,0.287261,0.281345,0.599525,0.000000,0.000000,0.000000,1.416132,0.000000,0.000000,0.246262,0.066513,0.052698,0.052729,0.959516,0.418808,0.018024,0.000000,0.550611,0.572434,1.030843,0.683003,0.005351,0.456018,0.211303,0.290985,0.000000,4.631731,2.119546,0.537140,0.005224,0.000000,0.523238,0.006277,0.971618,1.401332,0.059496,0.000000,0.000000,0.136269,0.000000,0.584634,0.000000,7.697873,0.196179,3.183783,0.000000,0.000000,1.151754,0.182802,0.209592,0.002302,0.617958,0.000000,0.085774,3.361255,0.053644,0.053636,1.149438,1.196806,0.000000,1.109625,6.157218,0.277890,0.235190,0.081016,0.000000,0.000000,3.288641,1.065684,1.495407,0.293571,4.967927,0.000000,0.219230,0.001823,1.071797,0.082161,0.000000,0.000000,0.243505,0.000000,0.502104,2.138413,0.045810,1.356257,5.948855,0.000000,0.323807,0.048247,0.133937,0.134574,0.785421,0.000000,29.076355,0.516608,0.043003,0.055409,3.175887,0.000000,5.078235,1.029766,0.000000,0.000000,0.036583,0.618000,0.084767,0.618645,0.000000,0.329274,0.090610,0.000000,0.408519,0.973817,6.018562,0.117661,0.000000,0.000000,8.888961,0.449228,0.000000,0.779803,0.000000,0.284912,6.589957,0.000000,0.247228,0.000000,0.000000,0.109764,0.000000,0.000000,1.854745,0.000000,0.626351,0.751243,0.267083,0.015484,0.000000,0.098161,0.852263,0.000000,0.836564,0.280875,0.246625,0.000000,4.377276,7.565329,0.409734,0.261123,0.055039,0.000000,0.000000,0.075127,0.514356,0.000000,1.494548,6.439732,0.393737,0.000000,0.138735,2.841803,1.013906,2.583966,4.715576,0.008162,0.240905,0.000000,2.379481,0.001696,1.374979,0.000000,0.001089,9.087015,0.326181,0.088191,0.121299,0.113230,1.772049,0.542862,0.005013,0.073067,0.361927,0.363496,2.927225,0.741605,1.620527,0.247364,0.000000,0.192277,0.000000,0.430788,1.415250,0.000000,2.432300,0.082384,0.632352,0.012838,0.237503,0.000000,0.273627,0.673936,1.497382,0.000000,0.520760,0.126713,0.061655,0.095597,5.055203,0.949499,0.000000,0.054516,0.000000,0.582947,0.000000,0.236780,0.000000,4.295046,0.179924,0.362102,2.043331,0.894435,0.067842,8.117414,5.594345,0.000000,1.904267,0.372751,0.000000,1.350772,0.132488,0.292465,0.229789,0.035069,0.000000,0.000000,0.148003,0.018993,2.690860,0.000000,0.160541,0.068319,0.000000,3.415075,0.222798,0.000000,0.000000,0.143255,0.238102,4.897482,0.262062,0.032509,0.714582,0.000000,0.163936,0.065471,0.000000,1.065520,0.083191,10.868325,0.277113,0.007172,2.839698,0.165357,1.839580,0.378424,0.153626,0.242889,0.272314,0.000000,1.362215,0.762721,0.109955,2.634769,0.000000,0.302073,0.709497,2.029117,0.000000,0.000000,2.515963,0.473662,1.304353,2.968283,2.079783,2.397817,9.795362,0.757309,0.179056,0.000000,0.788594,0.277855,6.841501,0.000000,0.000000,0.440638,0.857531,0.573549,1.012355,1.334034,0.960552,0.568871,0.060700,7.286950,0.000000,1.536309,0.022501,1.209204,0.273282,0.000000,0.086415,2.134736,0.023761,0.600235,0.000000,0.077194,2.486431,0.000000,3.253380,0.824368,0.065477,0.394071,0.065123,3.408983,0.000000,0.395090,0.000000,0.000000,0.233637,17.581394,0.013529,2.381539,0.000000,0.608112,0.000000,0.450964,0.090134,0.220817,0.249275,0.330390,0.400433,1.582853,0.000000,0.000000,0.433811,0.291332,0.119536,2.155925,0.374434,1.466340,2.170712,0.000000,0.095588,0.000000
5	0.028140,0.000000,0.000000,0.024353,0.061502,0.204060,1.214701,0.000000,0.000000,0.000000,0.000000,0.692168,1.199271,0.043685,3.302612,0.327210,0.685122,1.327847,1.808329,0.220217,0.000000,0.064973,4.844139,0.681952,0.255173,7.109697,0.075924,0.953425,0.000510,0.833856,0.000000,0.078723,0.432097,0.027872,0.282927,0.052684,0.466117,0.119702,0.000000,0.000000,0.262728,1.306462,4.654371,0.729235,0.000000,0.000000,4.686162,0.014051,0.000000,2.840811,9.844379,0.000000,0.889622,0.000000,0.000000,1.517205,0.206960,4.323616,1.690126,1.125558,1.356385,0.000000,0.925480,2.081926,0.290567,0.038049,0.000000,0.069241,0.354830,0.000000,0.405610,0.618514,0.105429,1.366710,0.282974,1.188901,0.199687,0.000000,0.000000,0.022291,0.032267,0.021799,0.000000,0.615000,0.855906,0.061093,15.941681,0.000000,0.033922,1.083309,0.000000,0.000000,0.157735,0.341781,0.067618,0.000000,2.246562,0.048799,1.296079,4.241245,0.198656,0.189688,0.579828,0.590598,0.022614,0.000000,0.319387,1.095429,0.000000,0.000000,0.000000,0.000000,0.554989,1.770419,0.754299,0.825236,0.161839,0.863865,0.000000,4.880909,0.752425,0.898122,0.000000,6.949014,5.651763,0.179142,0.105983,0.000000,0.052611,0.280490,5.434937,0.000000,2.811591,0.000000,1.673093,0.000000,0.000000,3.966026,8.722169,0.746258,2.676811,0.000000,3.229868,0.529663,0.072935,0.059383,0.076080,4.913609,0.849302,0.003397,1.194404,0.000000,0.000000,0.000000,0.634064,0.617519,7.560534,1.673314,0.000000,0.102547,0.846085,0.887142,0.000000,0.000000,0.037492,0.421420,0.480559,0.000000,1.049749,0.000000,0.247519,0.818128,0.170411,2.531585,0.101187,0.422055,1.097466,0.434834,9.829886,0.034941,0.000000,0.160955,0.029397,0.577478,0.081877,5.209037,2.606565,2.430984,0.000000,0.656338,0.005251,0.000000,0.348199,2.133522,0.085764,0.000000,0.000000,0.000000,0.000000,0.322428,0.000000,4.530455,0.274052,2.504412,0.000000,0.000000,2.625582,0.235082,0.000000,0.000000,0.401300,0.022058,2.821352,0.468133,0.000000,0.773016,0.509452,13.077378,0.000000,0.270502,5.828806,0.483460,0.055500,0.000000,0.059514,3.198107,7.756610,0.431319,0.758760,0.000000,12.050606,0.028604,0.026723,4.032730,0.303853,0.109245,0.000000,0.130035,0.000970,0.000000,1.722662,0.779255,0.126248,2.760561,29.313715,0.000000,0.000000,0.000000,0.221883,0.214095,1.659629,0.095982,17.031893,0.409748,1.791838,0.000000,0.852902,0.024804,5.653345,5.429208,0.375327,0.187209,0.290649,1.188613,0.108309,3.038986,0.000000,5.678168,0.245141,0.000000,0.000000,0.622163,1.888107,0.000000,0.268201,0.000000,7.357330,0.201051,0.087423,0.197271,0.000000,0.214351,10.830938,0.000000,2.782986,2.044762,0.000000,0.000000,1.543231,0.000000,1.886945,0.000000,0.216202,0.005375,0.000000,0.000000,11.423387,0.523939,1.578865,0.000000,9.372741,0.126794,0.000000,0.000000,0.010072,4.538592,0.000000,0.097599,0.780015,0.233389,0.255436,0.209977,0.655123,0.000000,0.225409,8.022406,1.496347,0.101207,0.000000,2.774578,0.000000,2.124856,0.497241,0.000000,0.115372,0.000000,1.788599,0.000000,2.580777,0.162127,4.081628,4.274495,0.204220,0.000000,0.582719,0.040809,2.652194,0.643785,0.119364,0.162275,0.653203,0.443764,0.200064,3.200290,2.311024,0.480816,0.771708,0.122140,0.000000,0.318023,2.522479,0.000000,0.228635,1.039756,0.279133,0.056370,0.940932,0.210679,1.456014,4.925048,1.033897,0.464302,1.046158,0.477389,0.000000,0.448779,4.281465,0.689444,0.246602,0.387230,0.081821,0.063779,0.000000,0.616648,0.000000,3.470390,0.000000,0.356988,0.000000,0.355845,1.748387,14.371758,3.002073,0.000000,0.029375,0.000000,0.000000,0.855942,0.734722,0.437567,1.981751,0.031694,0.000000,0.651559,0.000000,0.041856,2.089530,0.000000,0.129459,0.011294,0.597001,2.950562,0.142361,0.000000,0.000000,0.000000,0.003935,9.833581,0.695956,0.000000,0.000000,0.643652,0.818280,0.734667,0.910786,0.708212,0.155449,4.416932,2.247690,0.028706,3.566725,0.180046,1.304527,0.477560,1.875162,0.003295,0.066688,0.000000,0.063703,0.074523,0.317749,0.290638,0.000000,0.081864,0.443203,4.627752,0.000000,0.000000,1.519056,0.061059,0.692142,5.723185,1.365259,0.236487,16.123341,2.269710,0.000000,0.102348,2.813826,0.412927,13.402387,0.425369,0.000000,0.174831,0.224329,0.027502,0.749949,2.022285,4.821196,0.000000,1.423044,2.687239,0.006526,1.642569,0.001649,0.985421,0.210508,0.085760,0.414592,2.326246,0.000000,0.729486,0.740738,0.762231,1.711603,0.476807,1.273579,1.622430,0.107314,0.072686,0.015114,1.144382,0.495413,0.252512,0.820272,0.000000,0.327498,6.709326,0.030226,0.844575,0.025092,0.647595,0.273284,0.139871,0.000000,1.197298,0.347292,0.129592,0.454427,2.508490,0.355116,0.000000,0.053717,0.084474,1.082156,1.740928,0.147071,0.673886,1.084662,1.194170,0.669519,0.000000
